Time,SSC_50cm(kg/m3),depth
2014/9/26 11:56,0.16,1.9
2014/9/26 11:58,0.16,1.93
2014/9/26 12:00,0.17,1.94
2014/9/26 12:02,0.17,1.96
2014/9/26 12:04,0.16,1.99
2014/9/26 12:06,0.16,2
2014/9/26 12:08,0.17,2.02
2014/9/26 12:10,0.16,2.05
2014/9/26 12:12,0.17,2.07
2014/9/26 12:14,0.17,2.08
2014/9/26 12:16,0.17,2.1
2014/9/26 12:18,0.18,2.12
2014/9/26 12:20,0.18,2.14
2014/9/26 12:22,0.15,2.15
2014/9/26 12:24,0.14,2.17
2014/9/26 12:26,0.14,2.2
2014/9/26 12:28,0.13,2.21
2014/9/26 12:30,0.13,2.24
2014/9/26 12:32,0.14,2.25
2014/9/26 12:34,0.14,2.26
2014/9/26 12:36,0.14,2.28
2014/9/26 12:38,0.14,2.29
2014/9/26 12:40,0.13,2.31
2014/9/26 12:42,0.13,2.32
2014/9/26 12:44,0.13,2.34
2014/9/26 12:46,0.14,2.35
2014/9/26 12:48,0.12,2.36
2014/9/26 12:50,0.12,2.38
2014/9/26 12:52,0.12,2.39
2014/9/26 12:54,0.13,2.4
2014/9/26 12:56,0.13,2.41
2014/9/26 12:58,0.13,2.41
2014/9/26 13:00,0.13,2.42
2014/9/26 13:02,0.13,2.42
2014/9/26 13:04,0.13,2.43
2014/9/26 13:06,0.14,2.44
2014/9/26 13:08,0.13,2.45
2014/9/26 13:10,0.13,2.45
2014/9/26 13:12,0.12,2.45
2014/9/26 13:14,0.13,2.45
2014/9/26 13:16,0.12,2.46
2014/9/26 13:18,0.12,2.45
2014/9/26 13:20,0.12,2.45
2014/9/26 13:22,0.12,2.45
2014/9/26 13:24,0.12,2.45
2014/9/26 13:26,0.12,2.45
2014/9/26 13:28,0.11,2.45
2014/9/26 13:30,0.12,2.45
2014/9/26 13:32,0.12,2.45
2014/9/26 13:34,0.12,2.45
2014/9/26 13:36,0.11,2.44
2014/9/26 13:38,0.11,2.45
2014/9/26 13:40,0.11,2.45
2014/9/26 13:42,0.11,2.45
2014/9/26 13:44,0.11,2.45
2014/9/26 13:46,0.11,2.45
2014/9/26 13:48,0.11,2.45
2014/9/26 13:50,0.11,2.45
2014/9/26 13:52,0.11,2.45
2014/9/26 13:54,0.11,2.45
2014/9/26 13:56,0.11,2.45
2014/9/26 13:58,0.11,2.43
2014/9/26 14:00,0.11,2.43
2014/9/26 14:02,0.11,2.43
2014/9/26 14:04,0.12,2.43
